Pipette, Liquid, Aspiration Rate (µL/s), Aspiration Delay (s), Aspiration Withdrawal Rate (mm/s), Dispense Rate (µL/s), Dispense Delay (s), Blowout Rate (µL/s), Touch tip
P20, Glycerol 10%, 6.804, 2.0, 5.0, 6.804, 2.0, 0.5, No
P20, Glycerol 90%, 5.292, 7.0, 2.0, 5.292, 7.0, 0.5, No
P20, Glycerol 99%, 3.78, 10.0, 2.0, 3.78, 10.0, 0.5, No
P20, PEG 8000 50% w/v, 6.048, 7.0, 5.0, 6.048, 7.0, 0.5, No
P20, Sanitizer 62% Alcohol, 1.0, 2.0, 20.0, 3.78, 2.0, 0.5, Yes
P20, Tween 20 100%, 5.292, 7.0, 2.0, 3.024, 7.0, 0.5, Yes
P20, Engine oil 100%, 6.048, 7.0, 1.0, 6.048, 7.0, 0.5, Yes
P300, Glycerol 10%, 83.25, 2.0, 5.0, 83.25, 2.0, 10.0, No
P300, Glycerol 90%, 64.75, 8.0, 1.0, 64.75, 8.0, 4.0, No
P300, Glycerol 99%, 55.5, 10.0, 1.0, 55.5, 10.0, 4.0, No
P300, PEG 8000 50% w/v, 74.0, 6.0, 4.0, 74.0, 74.0, 4.0, No
P300, Sanitizer 62% Alcohol, 92.5, 2.0, 20.0, 92.5, 2.0, 4.0, Yes
P300, Tween 20 100%, 13.9, 10.0, 1.0, 13.9, 11.0, 7.0, Yes
P300, Engine oil 100%, 74.0, 3.0, 2.0, 46.25, 7.0, 10.0, Yes
P1000, Glycerol 10%, 247.05, 2.0, 30.0, 247.05, 2.0, 75.0, No
P1000, Glycerol 50%, 247.05, 3.0, 30.0, 247.05, 3.0, 75.0, No
P1000, Glycerol 90%, 164.7, 10.0, 3.0, 109.8, 10.0, 15.0, No
P1000, Glycerol 99%, 41.175, 20.0, 4.0, 19.215, 20.0, 5.0, No
